Bruttomonatsverdienst,lower limit,upper limit,Mittelwert,Anteil,Anteil > lower
unter 100,0,100,50,0.01,100
100 – 300,100,300,150,0.03,99.99
300 – 500,300,500,400,0.08,99.96
500 – 700,500,700,600,0.16,99.88
700 – 900,700,900,800,0.14,99.72
900 – 1 100,900,1100,1000,0.26,99.58
1 100 – 1 300,1100,1300,1200,0.28,99.32
1 300 – 1 500,1300,1500,1400,0.37,99.04
1 500 – 1 700,1500,1700,1600,0.62,98.67
1 700 – 1 900,1700,1900,1800,0.91,98.05
1 900 – 2 100,1900,2100,2000,2.45,97.14
2 100 – 2 300,2100,2300,2200,3.9,94.69
2 300 – 2 500,2300,2500,2400,4.76,90.79
2 500 – 2 700,2500,2700,2600,5.51,86.03
2 700 – 2 900,2700,2900,2800,6.02,80.52
2 900 – 3 100,2900,3100,3000,6.43,74.5
3 100 – 3 300,3100,3300,3200,6.32,68.07
3 300 – 3 500,3300,3500,3400,6.13,61.75
3 500 – 3 700,3500,3700,3600,5.68,55.62
3 700 – 3 900,3700,3900,3800,4.69,49.94
3 900 – 4 100,3900,4100,4000,4.69,45.25
4 100 – 4 300,4100,4300,4200,4.06,40.56
4 300 – 4 500,4300,4500,4400,3.41,36.5
4 500 – 4 700,4500,4700,4600,3.43,33.09
4 700 – 4 900,4700,4900,4800,2.95,29.66
4 900 – 5 100,4900,5100,5000,2.73,26.71
5 100 – 5 300,5100,5300,5200,2.32,23.98
5 300 – 5 500,5300,5500,5400,2.1,21.66
5 500 – 5 700,5500,5700,5600,1.82,19.56
5 700 – 5 900,5700,5900,5800,1.76,17.74
5 900 – 6 100,5900,6100,6000,1.67,15.98
6 100 – 6 300,6100,6300,6200,1.36,14.31
6 300 – 6 500,6300,6500,6400,1.19,12.95
6 500 – 6 700,6500,6700,6600,1.15,11.76
6 700 – 6 900,6700,6900,6800,0.89,10.61
6 900 – 7 100,6900,7100,7000,0.88,9.72
7 100 – 7 300,7100,7300,7200,0.77,8.84
7 300 – 7 500,7300,7500,7400,0.66,8.07000000000001
7 500 – 7 700,7500,7700,7600,0.64,7.41
7 700 – 7 900,7700,7900,7800,0.51,6.77
7 900 – 8 100,7900,8100,8000,0.55,6.26000000000001
8 100 – 8 300,8100,8300,8200,0.45,5.70999999999999
8 300 – 8 500,8300,8500,8400,0.4,5.26000000000001
8 500 – 8 700,8500,8700,8600,0.37,4.86
8 700 – 8 900,8700,8900,8800,0.33,4.49
8 900 – 9 100,8900,9100,9000,0.3,4.16
9 100 – 9 300,9100,9300,9200,0.28,3.86
9 300 – 9 500,9300,9500,9400,0.24,3.58
9 500 – 9 700,9500,9700,9600,0.24,3.34
9 700 – 9 900,9700,9900,9800,0.21,3.09999999999999
9 900 – 10 100,9900,10100,10000,0.23,2.89
10 100 – 10 300,10100,10300,10200,0.16,2.66
10 300 – 10 500,10300,10500,10400,0.16,2.5
10 500 – 10 700,10500,10700,10600,0.14,2.34
10 700 – 10 900,10700,10900,10800,0.13,2.2
10 900 – 11 100,10900,11100,11000,0.12,2.06999999999999
11 100 – 11 300,11100,11300,11200,0.12,1.95
11 300 – 11 500,11300,11500,11400,0.09,1.83
11 500 – 11 700,11500,11700,11600,0.1,1.74
11 700 – 11 900,11700,11900,11800,0.08,1.64
11 900 – 12 100,11900,12100,12000,0.1,1.56
über 12 100,12000,1.00E+06,20000,1.46,1.45999999999999
